# thread_num overall_exec_time_in_ms average_wait_metric_per_iteration
1	826	26465
4	850	94029
64	943	1043482
128	1605	4332093
192	1893	7790204
256	1920	9482322
320	2514	17929266
384	2549	18849425
448	2218	21480783
512	3556	39125451
1024	2794	54421905
1536	2687	74193202
2048	5084	219030182
2560	2531	113868422
3072	1602	67715037
3584	3072	183427155
