# thread_num overall_exec_time_in_ms average_wait_metric_per_iteration
1 824 26385
4 831 68045
64 869 914775
128 980 2132201
192 1214 4133539
256 1439 6898320
320 1210 6907368
384 2051 15783180
448 1374 10934462
512 1128 8838039
1024 2299 50350462
1536 2195 59057613
2048 2585 103339169
2560 3170 177910839
3072 984 33830108
3584 2162 140431384
