# thread_num overall_exec_time_in_ms average_wait_metric_per_iteration
1       823    26348
4       871     111612
64      43882   89965571
128     311589  1274072520
192     477486  2936584702
256     601292  4925410763
320     708482  7280504909
384     843463  10404456602
448     1034828 14852885339
512     1149193 18809857438
